مدل خودرو,شرکت سازنده,روغن موتور,روغن گیربکس (دستی یا اتوماتیک),سیال خنک¬کننده,
"تندر 90 دنده ای، موتور K4M-A6",رنو,,بهران سوپر پیشتاز 10W-40,بهران سمند NFJ 75W-80,بهران مهر
,,,,,بهران کولنت
,,,,,بهران بهمن
"سیمبل دنده ای، موتور K4M",رنو,,سوپر رانا 5W-40,بهران سمند NFJ 75W-80,بهران مهر
,,,,,بهران کولنت
,,,,,بهران بهمن
"فلوئنس دنده ای، موتور M4R",رنو,,سوپر رانا 5W-40,بهران سمند ویژه,بهران کولنت
,,,,بهران سمند,بهران بهمن
,,,,,بهران مهر
"ساندرو دنده ای،موتور K4M-C6",رنو,,بهران سوپر پیشتاز 10W-40,بهران سمند NFJ 75W-80,بهران مهر
,,,بهران رانا 10W-40,,بهران کولنت
,,,,,بهران بهمن
"ساندرو استپ وی دنده ای، موتور K4M-C6",رنو,,بهران سوپر پیشتاز 10W-40,بهران سمند NFJ 75W-80,بهران کولنت
,,,بهران رانا 10W-40,,بهران بهمن
,,,,,بهران مهر
,,,بهران اولترا رانا 5W-30,بهران اتوماتیک DCT,بهران پلور LPO
"ایما چهار سیلندر، موتور 4A95TD",لاماری,,بهران اولترا رانا 5W-30,بهران اتوماتیک DCT,بهران پلور LPO
"تارا TU5P، دستی",ایران خودرو,,بهران سوپر پیشتاز 10W-40,بهران سمند,بهران مهر- بهران بهمن- بهران کولنت
,,,بهران سوپر پیشتاز 10W-40,بهران اتوماتیک MVLV,بهران مهر- بهران بهمن- بهران کولنت
"تارا TU5P، اتوماتیک",ایران خودرو,,بهران سوپر پیشتاز 10W-40,بهران اتوماتیک MVLV,بهران مهر- بهران بهمن- بهران کولنت
,,,بهران سوپر رانا+ 5W-30,بهران اتوماتیک CVT,بهران مهر- بهران بهمن- بهران کولنت
,,,بهران رانا 10W-40,,
"تیگو 7 پرو توربو، SQRE4T15C",فونیکس,,بهران رانا 10W-40,بهران اتوماتیک CVT,بهران مهر- بهران بهمن- بهران کولنت
,,,بهران سوپر رانا+ 5W-30,,
آریزو 6 پرو SQRE4T15B,فونیکس,,بهران سوپر رانا+ 5W-30,بهران اتوماتیک CVT,بهران مهر- بهران بهمن- بهران کولنت
,,,بهران رانا 10W-40,,
"FX توربوشارژ، SQRE4T15C",فونیکس,,بهران سوپر رانا+ 5W-30,بهران اتوماتیک DCT,بهران مهر- بهران بهمن- بهران کولنت
,,,بهران اولترا رانا 5W-30,,
"تیگو 8 پرو توربوشارژ، SQRD/T",فونیکس,,بهران رانا 10W-40,بهران اتوماتیک DCT,بهران مهر- بهران بهمن- بهران کولنت
,,,بهران سوپر رانا+ 5W-30,,
"بایک سابرینا اتومات موتور، A151",بایک موتور,,بهران سوپر پیشتاز 10W-40,بهران اتوماتیک MV,بهران مهر
,,,,,بهران کولنت
,,,,,بهران بهمن
S30 موتور TU5 دنده ای,دانگ فنگ,,بهران رانا 10W-40,بهران سمند ویژه,بهران مهر
,,,,,بهران بهمن
,,,,,بهران کولنت
کیزاشی موتور J24B دنده ای,سوزوکی,,سوپر رانا 5W-40,بهران سمند,بهران کولنت
,,,,,بهران بهمن
,,,,,بهران مهر
"گرندویتارا 2000، موتور J20A دنده ای",سوزوکی,,سوپر رانا 5W-40,بهران سمند ویژه,بهران مهر
,,,,,بهران کولنت
,,,,,بهران بهمن
"گرندویتارا 2400، موتور J24B دنده ای",سوزوکی,,سوپر رانا 5W-40,بهران سمند ویژه,بهران کولنت
,,,,,بهران بهمن
,,,,,بهران مهر
X 60 موتور LFB479Q دنده ای,لیفان,,بهران رانا 10W-40,بهران سمند ویژه,بهران بهمن
,,,,بهران سمند,بهران کولنت
,,,,,بهران مهر
X 50 موتور LFB479Q2-B دنده ای,لیفان,,بهران رانا 10W-40,بهران سمند ویژه,بهران بهمن
,,,,بهران سمند,بهران کولنت
,,,,,بهران مهر
"ماکسیما موتور VQ30، دنده ای",نیسان,,بهران رانا 20W-50,بهران سمند,بهران بهمن
,,,,,بهران پلور LPO
